JPEGImages\garbage103.jpg Annotations\garbage103.xml
JPEGImages\garbage28.jpg Annotations\garbage28.xml
JPEGImages\garbage41.jpg Annotations\garbage41.xml
JPEGImages\garbage35.jpg Annotations\garbage35.xml
JPEGImages\garbage08.jpg Annotations\garbage08.xml
JPEGImages\garbage04.jpg Annotations\garbage04.xml
JPEGImages\garbage52.jpg Annotations\garbage52.xml
JPEGImages\garbage69.jpg Annotations\garbage69.xml
JPEGImages\garbage48.jpg Annotations\garbage48.xml
JPEGImages\garbage03.jpg Annotations\garbage03.xml
JPEGImages\garbage98.jpg Annotations\garbage98.xml
JPEGImages\garbage29.jpg Annotations\garbage29.xml
JPEGImages\garbage39.jpg Annotations\garbage39.xml
JPEGImages\garbage31.jpg Annotations\garbage31.xml
JPEGImages\garbage23.jpg Annotations\garbage23.xml
JPEGImages\garbage82.jpg Annotations\garbage82.xml
JPEGImages\garbage54.jpg Annotations\garbage54.xml
JPEGImages\garbage30.jpg Annotations\garbage30.xml
JPEGImages\garbage20.jpg Annotations\garbage20.xml
JPEGImages\garbage81.jpg Annotations\garbage81.xml
JPEGImages\garbage70.jpg Annotations\garbage70.xml
JPEGImages\garbage34.jpg Annotations\garbage34.xml
JPEGImages\garbage16.jpg Annotations\garbage16.xml
JPEGImages\garbage105.jpg Annotations\garbage105.xml
JPEGImages\garbage44.jpg Annotations\garbage44.xml
JPEGImages\garbage06.jpg Annotations\garbage06.xml
JPEGImages\garbage02.jpg Annotations\garbage02.xml
JPEGImages\garbage60.jpg Annotations\garbage60.xml
JPEGImages\garbage19.jpg Annotations\garbage19.xml
JPEGImages\garbage107.jpg Annotations\garbage107.xml
JPEGImages\garbage108.jpg Annotations\garbage108.xml
JPEGImages\garbage76.jpg Annotations\garbage76.xml
JPEGImages\garbage09.jpg Annotations\garbage09.xml
JPEGImages\garbage17.jpg Annotations\garbage17.xml
JPEGImages\garbage74.jpg Annotations\garbage74.xml
JPEGImages\garbage51.jpg Annotations\garbage51.xml
JPEGImages\garbage100.jpg Annotations\garbage100.xml
JPEGImages\garbage42.jpg Annotations\garbage42.xml
JPEGImages\garbage85.jpg Annotations\garbage85.xml
JPEGImages\garbage83.jpg Annotations\garbage83.xml
JPEGImages\garbage97.jpg Annotations\garbage97.xml
JPEGImages\garbage67.jpg Annotations\garbage67.xml
JPEGImages\garbage94.jpg Annotations\garbage94.xml
JPEGImages\garbage63.jpg Annotations\garbage63.xml
JPEGImages\garbage90.jpg Annotations\garbage90.xml
JPEGImages\garbage56.jpg Annotations\garbage56.xml
JPEGImages\garbage88.jpg Annotations\garbage88.xml
JPEGImages\garbage106.jpg Annotations\garbage106.xml
JPEGImages\garbage43.jpg Annotations\garbage43.xml
JPEGImages\garbage45.jpg Annotations\garbage45.xml
JPEGImages\garbage86.jpg Annotations\garbage86.xml
JPEGImages\garbage14.jpg Annotations\garbage14.xml
JPEGImages\garbage65.jpg Annotations\garbage65.xml
JPEGImages\garbage15.jpg Annotations\garbage15.xml
JPEGImages\garbage71.jpg Annotations\garbage71.xml
JPEGImages\garbage46.jpg Annotations\garbage46.xml
JPEGImages\garbage89.jpg Annotations\garbage89.xml
JPEGImages\garbage75.jpg Annotations\garbage75.xml
JPEGImages\garbage93.jpg Annotations\garbage93.xml
JPEGImages\garbage95.jpg Annotations\garbage95.xml
JPEGImages\garbage72.jpg Annotations\garbage72.xml
JPEGImages\garbage36.jpg Annotations\garbage36.xml
JPEGImages\garbage53.jpg Annotations\garbage53.xml
JPEGImages\garbage101.jpg Annotations\garbage101.xml
JPEGImages\garbage05.jpg Annotations\garbage05.xml
JPEGImages\garbage24.jpg Annotations\garbage24.xml
JPEGImages\garbage21.jpg Annotations\garbage21.xml
JPEGImages\garbage62.jpg Annotations\garbage62.xml
JPEGImages\garbage80.jpg Annotations\garbage80.xml
JPEGImages\garbage68.jpg Annotations\garbage68.xml
JPEGImages\garbage07.jpg Annotations\garbage07.xml
JPEGImages\garbage84.jpg Annotations\garbage84.xml
JPEGImages\garbage73.jpg Annotations\garbage73.xml
JPEGImages\garbage10.jpg Annotations\garbage10.xml
JPEGImages\garbage18.jpg Annotations\garbage18.xml
JPEGImages\garbage25.jpg Annotations\garbage25.xml
